directory,stage,input,selection,options,slippageBps,seed,candidate,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
entry/monthly-development,development,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,history-reset-options.json,5,204,recovery-60-3-monthly,46,7,15.217391304347828,-0.7314558725000087,-7.875079143750002,-11.587973680000008,60.86956521739131,-11.920155872609806,1,14,3,21.428571428571427,-2.4924736249999913,-5.981398035250014,-7.851586189999993,71.42857142857143,-8.120446777774537,0
entry/monthly-validation,validation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,history-reset-options.json,5,204,recovery-60-3-monthly,45,12,26.666666666666668,0.9750333599999772,-4.7326918510000064,-7.314874161499995,33.33333333333333,-10.260183368194253,1,13,3,23.076923076923077,-0.38248385499999316,-4.775801223000005,-7.314874161499995,53.84615384615385,-8.940513054457867,0
entry/monthly-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,history-reset-options.json,5,204,recovery-60-3-monthly,29,15,51.724137931034484,10.370836254999993,-1.3441294380000124,-2.0096234450000083,20.689655172413794,-9.370341384491143,0,9,4,44.44444444444444,3.692213164999991,-1.1920879039999943,-1.509679350000026,22.22222222222222,-9.370341384491143,0
entry/daily-validation,validation,expanded/stock-200-verified-input.json.gz,entry-candidates.json,entry-validation-options.json,5,204,recovery-60-3-monthly,37,19,51.35135135135135,10.07842082250001,-7.277620016400001,-10.663147119999994,37.83783783783784,-12.980989230634332,0,3,0,0,-7.560504103499999,-10.042618516699996,-10.663147119999994,100,-12.980989230634332,0
entry/daily-validation,validation,expanded/stock-200-verified-input.json.gz,entry-candidates.json,entry-validation-options.json,5,204,recovery-40-3-monthly,37,5,13.513513513513514,0.17497637250001308,-5.878046699200004,-8.775049229999986,45.94594594594595,-11.073909197997567,1,3,0,0,-3.7645165749999987,-6.666721263000001,-7.392272435000002,100,-10.295145516802906,0
entry/daily-validation,validation,expanded/stock-200-verified-input.json.gz,entry-candidates.json,entry-validation-options.json,5,204,recovery-80-3-monthly,37,20,54.054054054054056,10.373850210000013,-3.7409061909999974,-9.574763247000007,27.027027027027028,-10.695174465319713,1,3,0,0,-2.1088401525000022,-8.081578628100006,-9.574763247000007,100,-10.695174465319713,0
entry/daily-validation,validation,expanded/stock-200-verified-input.json.gz,entry-candidates.json,entry-validation-options.json,5,204,momentum-20-5-monthly,37,17,45.94594594594595,9.88708142750001,-11.178876793999995,-14.05504273,48.64864864864865,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-3.1209167039000008,-6.822182413,33.33333333333333,-11.19161782712853,0
entry/daily-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,entry-candidates.json,entry-confirmation-options.json,5,204,recovery-60-3-monthly,71,39,54.929577464788736,10.72691507000001,-4.709063206499975,-10.029108720000002,21.12676056338028,-10.75510880460705,2,5,2,40,6.536748817499993,-4.136399579999986,-8.91413729999998,20,-10.75510880460705,0
entry/daily-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,entry-candidates.json,entry-confirmation-options.json,5,204,recovery-40-3-monthly,71,42,59.154929577464785,11.644817512499994,-5.497989962000016,-8.91190191500002,19.718309859154928,-10.387090808695575,3,5,3,60,11.25603503499999,-4.8053152010000115,-8.122159995000022,20,-10.387090808695575,0
entry/daily-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,entry-candidates.json,entry-confirmation-options.json,5,204,recovery-80-3-monthly,71,26,36.61971830985916,4.746154772499955,-3.2460144224999987,-7.047203783000022,29.577464788732392,-10.818573784811337,3,5,2,40,6.5674390774999925,1.1256537854999937,0.17303449249999048,0,-8.103122309718703,0
